N,rep,wall_ms,peak_kb,exit
267,0,54,3620,0
267,1,52,2016,0
267,2,58,2016,0
267,3,57,3608,0
267,4,56,2432,0
533,0,69,3240,0
533,1,56,3372,0
533,2,59,3844,0
533,3,57,3924,0
533,4,57,3752,0
1065,0,81,4176,0
1065,1,65,4356,0
1065,2,57,4212,0
1065,3,62,2480,0
1065,4,58,4172,0
1597,0,81,4560,0
1597,1,66,5000,0
1597,2,89,4624,0
1597,3,72,4636,0
1597,4,65,3996,0
2528,0,143,5280,0
2528,1,75,5488,0
2528,2,129,5472,0
2528,3,74,5484,0
2528,4,76,5472,0
4124,0,123,7120,0
4124,1,97,7140,0
4124,2,109,7132,0
4124,3,94,6700,0
4124,4,108,7152,0
6119,0,170,8172,0
6119,1,163,8112,0
6119,2,154,8148,0
6119,3,149,8136,0
6119,4,147,8112,0
8646,0,254,10472,0
8646,1,234,10092,0
8646,2,217,10120,0
8646,3,228,10624,0
8646,4,236,10060,0
11173,0,328,12204,0
11173,1,419,12204,0
11173,2,344,12208,0
11173,3,325,11884,0
11173,4,414,11836,0
14232,0,562,14360,0
14232,1,490,14336,0
14232,2,477,14376,0
14232,3,481,14316,0
14232,4,458,14312,0
17690,0,853,16808,0
17690,1,713,16728,0
17690,2,703,16732,0
17690,3,788,16720,0
17690,4,715,16764,0
21281,0,1002,19448,0
21281,1,1033,19440,0
21281,2,1170,19496,0
21281,3,1061,19468,0
21281,4,1064,19464,0
25271,0,1431,22344,0
25271,1,1330,22340,0
25271,2,1475,22392,0
25271,3,1369,22324,0
25271,4,1372,22332,0
